Key 	A03.003_Az_T00130.txt_000001_to_1064.txt 	A01.003_Dan_T00030.txt_000001_to_450.txt 	A01.003_Dan_T00030.txt_000451_to_900.txt 	A01.003_Dan_T00030.txt_000901_to_1350.txt 	A01.003_Dan_T00030.txt_001351_to_1800.txt 	A01.003_Dan_T00030.txt_001801_to_2250.txt 	A01.003_Dan_T00030.txt_002251_to_2700.txt 	A01.003_Dan_T00030.txt_002701_to_3150.txt 	A01.003_Dan_T00030.txt_003151_to_3600.txt 	A01.003_Dan_T00030.txt_003601_to_4050.txt 	A01.003_Dan_T00030.txt_004051_to_4472.txt 
ende	0	0	2	0	0	0	0	1	0	0	0
wur&thorn;ia&thorn;	0	0	0	0	0	1	2	0	0	0	0
gehwam	1	0	0	0	1	0	1	0	0	0	0
&aelig;hta	0	1	0	0	1	0	1	0	0	0	0
heofonsteorran	1	0	0	0	0	2	0	0	0	0	0
swi&thorn;e	0	0	0	0	0	0	0	1	0	0	2
wur&thorn;an	0	0	1	0	0	1	0	0	0	0	1
e&thorn;el	0	1	0	0	0	0	0	0	0	2	0
bearnum	1	0	1	0	0	0	0	0	0	1	0
manegum	0	0	0	0	1	0	0	2	0	0	0
hearde	0	0	1	0	0	0	1	0	1	0	0
sceal	2	0	0	0	0	0	0	0	0	0	1
wulfheort	0	0	2	0	1	0	0	0	0	0	0
so&thorn;um	0	0	0	0	0	0	0	1	1	0	1
wyrrestan	1	0	0	1	1	0	0	0	0	0	0
tacen	0	0	0	0	0	0	0	2	0	0	1
worda	0	0	0	0	0	0	0	0	1	0	2
byrnende	1	0	0	0	0	1	1	0	0	0	0
owiht	0	0	0	0	2	1	0	0	0	0	0
wyrda	0	0	2	0	0	0	0	0	1	0	0
for&thorn;am	0	0	0	1	0	0	0	2	0	0	0
wis	2	0	0	0	0	0	1	0	0	0	0
b&aelig;ron	0	0	1	0	1	0	0	1	0	0	0
com	0	0	1	0	0	0	0	0	0	1	1
o&thorn;	1	0	1	0	0	0	0	1	0	0	0
mine	0	0	2	0	0	0	1	0	0	0	0
heofona	0	0	0	0	0	0	2	0	0	1	0
scur	0	0	0	0	0	2	0	0	1	0	0
halga	2	0	0	0	0	1	0	0	0	0	0
habban	1	1	0	1	0	0	0	0	0	0	0
mannum	0	0	0	0	0	0	0	0	1	1	1
healdan	0	1	0	1	0	0	0	0	0	1	0
deop	3	0	0	0	0	0	0	0	0	0	0
h&aelig;&thorn;ne	1	0	0	1	1	0	0	0	0	0	0
dugu&thorn;e	1	0	1	0	0	0	1	0	0	0	0
gangan	0	0	1	0	0	0	1	0	0	0	1
cyninge	0	0	2	1	0	0	0	0	0	0	0
wyrcan	0	0	0	1	0	0	0	1	1	0	0
healle	1	0	0	0	0	0	0	0	0	0	2
sl&aelig;pe	0	0	1	0	0	0	0	2	0	0	0
ebrea	0	0	1	1	1	0	0	0	0	0	0
haligra	2	0	0	0	0	0	1	0	0	0	0
weor&thorn;e&thorn;	1	0	0	0	1	1	0	0	0	0	0
worhton	1	0	0	0	2	0	0	0	0	0	0
miltse	2	0	0	0	0	1	0	0	0	0	0
ane	0	1	0	0	0	1	0	1	0	0	0
wolcna	1	0	0	0	0	1	0	0	0	1	0
burh	0	0	0	0	0	0	0	0	1	2	0
aldre	0	0	0	0	1	0	1	0	1	0	0
